time	V(v_osc2)	V(n007)
3.031304557061671e-03	2.934241e-01	-1.360555e+01
3.061930756312232e-03	2.934241e-01	-1.360555e+01
3.093212145084070e-03	2.934241e-01	-1.360555e+01
3.128852911547663e-03	2.934241e-01	-1.360555e+01
3.166657913169665e-03	2.934241e-01	-1.360555e+01
3.209443798660336e-03	2.934241e-01	-1.360555e+01
3.252272047530099e-03	2.934241e-01	-1.360555e+01
3.298927499422543e-03	2.934241e-01	-1.360555e+01
3.342902881446974e-03	2.934241e-01	-1.360555e+01
3.389262329284172e-03	2.934241e-01	-1.360556e+01
3.492358112104477e-03	2.934241e-01	-1.360556e+01
3.544799518354477e-03	2.934241e-01	-1.360556e+01
3.649682330854477e-03	2.934241e-01	-1.360556e+01
3.702123737104477e-03	2.934241e-01	-1.360556e+01
3.754565143354477e-03	2.934241e-01	-1.360556e+01
3.807006549604477e-03	2.934241e-01	-1.360557e+01
3.911889362104477e-03	2.934241e-01	-1.360557e+01
3.964330768354478e-03	2.934241e-01	-1.360557e+01
4.069213580854478e-03	2.934240e-01	-1.360557e+01
4.121654987104478e-03	2.934240e-01	-1.360557e+01
4.226537799604478e-03	2.934240e-01	-1.360557e+01
4.331420612104478e-03	2.934240e-01	-1.360558e+01
4.436303424604478e-03	2.934240e-01	-1.360558e+01
4.631085790675907e-03	2.934240e-01	-1.360558e+01
4.825868156747336e-03	2.934240e-01	-1.360559e+01
5.020650522818765e-03	2.934240e-01	-1.360559e+01
5.215432888890194e-03	2.934240e-01	-1.360559e+01
5.410215254961622e-03	2.934240e-01	-1.360560e+01
5.604997621033052e-03	2.934240e-01	-1.360560e+01
5.799779987104480e-03	2.934240e-01	-1.360560e+01
6.226802866568765e-03	2.934240e-01	-1.360561e+01
6.653825746033049e-03	2.934240e-01	-1.360561e+01
7.080848625497333e-03	2.934240e-01	-1.360562e+01
7.507871504961617e-03	2.934240e-01	-1.360562e+01
7.934894384425902e-03	2.934240e-01	-1.360563e+01
8.361917263890186e-03	2.934240e-01	-1.360563e+01
8.788940143354469e-03	2.934240e-01	-1.360563e+01
9.028672286211608e-03	2.934240e-01	-1.360563e+01
9.268404429068748e-03	2.934240e-01	-1.360563e+01
9.508136571925887e-03	2.934240e-01	-1.360563e+01
9.747868714783026e-03	2.934240e-01	-1.360562e+01
9.987600857640166e-03	2.934240e-01	-1.360560e+01
1.022733300049731e-02	2.934240e-01	-1.360558e+01
1.046706514335444e-02	2.934241e-01	-1.360556e+01
1.052606172538569e-02	2.934241e-01	-1.360552e+01
1.053917207694819e-02	2.934242e-01	-1.360549e+01
1.054244966483882e-02	2.934242e-01	-1.360547e+01
1.054326906181148e-02	2.934242e-01	-1.360545e+01
1.054490785575679e-02	2.934245e-01	-1.360532e+01
1.054668379626279e-02	2.934251e-01	-1.360498e+01
1.054853928058444e-02	2.934266e-01	-1.360418e+01
1.055070915375810e-02	2.934302e-01	-1.360229e+01
1.055272797456227e-02	2.934369e-01	-1.359871e+01
1.055425069053304e-02	2.934455e-01	-1.359411e+01
1.055449275671285e-02	2.934477e-01	-1.359294e+01
1.055497688907247e-02	2.934543e-01	-1.358943e+01
1.055566093041256e-02	2.934668e-01	-1.358286e+01
1.055577062601600e-02	2.934697e-01	-1.358134e+01
1.055599001722288e-02	2.934784e-01	-1.357680e+01
1.055635159338829e-02	2.934973e-01	-1.356697e+01
1.055640204266533e-02	2.935011e-01	-1.356497e+01
1.055650294121940e-02	2.935133e-01	-1.355865e+01
