time	V(integrateur)	V(osc_1)	V(out)
1.634309371311531e-04	3.020772e+00	1.347655e+01	3.136525e-01
1.634502756979895e-04	3.040220e+00	1.347655e+01	3.136934e-01
1.634738338395815e-04	3.051283e+00	1.347655e+01	3.137155e-01
1.634879499615126e-04	3.053800e+00	1.347655e+01	3.137206e-01
1.634965947520627e-04	3.054120e+00	1.347655e+01	3.137194e-01
1.635058648640549e-04	3.054087e+00	1.347655e+01	3.137175e-01
1.635145032012567e-04	3.053993e+00	1.347655e+01	3.137157e-01
1.635246157630083e-04	3.053969e+00	1.347655e+01	3.137130e-01
1.635344456567371e-04	3.054152e+00	1.347655e+01	3.137112e-01
1.635458699874477e-04	3.054711e+00	1.347655e+01	3.137090e-01
1.635585560164979e-04	3.055830e+00	1.347655e+01	3.137084e-01
1.635773405526814e-04	3.058334e+00	1.347655e+01	3.137079e-01
1.636015739953454e-04	3.062672e+00	1.347655e+01	3.137108e-01
