time	V(oscillateur_2)	V(n003)
1.200647681314100e-04	9.988970e+00	5.784872e+00
1.200705843946827e-04	1.118730e+01	5.815409e+00
1.200764454801833e-04	1.173959e+01	5.828442e+00
1.200824531424537e-04	1.195911e+01	5.827816e+00
1.200891209784317e-04	1.204027e+01	5.816244e+00
1.200977156627407e-04	1.206861e+01	5.792210e+00
1.201103791856083e-04	1.207454e+01	5.750435e+00
1.201288803547014e-04	1.206950e+01	5.690788e+00
1.201478463286496e-04	1.206228e+01	5.640176e+00
1.201668513765931e-04	1.205636e+01	5.604434e+00
1.201854819828869e-04	1.205259e+01	5.583519e+00
1.202062131643133e-04	1.205040e+01	5.572330e+00
1.202278146808568e-04	1.204950e+01	5.568245e+00
1.202383308694666e-04	1.204944e+01	5.568122e+00
1.202484318407822e-04	1.204957e+01	5.568727e+00
1.202591013472038e-04	1.204975e+01	5.569471e+00
1.202706872960893e-04	1.204998e+01	5.570161e+00
1.202825864213711e-04	1.205019e+01	5.570593e+00
1.202938899807593e-04	1.205035e+01	5.570647e+00
1.203069601023519e-04	1.205048e+01	5.570252e+00
1.203215458895521e-04	1.205055e+01	5.569262e+00
1.203448473428847e-04	1.205050e+01	5.566797e+00
1.203826440517027e-04	1.205024e+01	5.561760e+00
1.204146784915446e-04	1.204993e+01	5.557082e+00
1.204500258572671e-04	1.204956e+01	5.551896e+00
1.204881123360631e-04	1.204919e+01	5.546499e+00
1.205402623876049e-04	1.204872e+01	5.539304e+00
1.206261646482318e-04	1.204796e+01	5.527532e+00
1.207193708450138e-04	1.204713e+01	5.514727e+00
1.208504938528797e-04	1.204596e+01	5.496693e+00
1.210458063528797e-04	1.204421e+01	5.469848e+00
1.212411188528797e-04	1.204247e+01	5.443013e+00
1.214364313528797e-04	1.204073e+01	5.416187e+00
1.216317438528797e-04	1.203899e+01	5.389372e+00
1.218270563528797e-04	1.203725e+01	5.362567e+00
1.222176813528798e-04	1.203377e+01	5.308989e+00
1.228036188528798e-04	1.202855e+01	5.228698e+00
1.235848688528798e-04	1.202161e+01	5.121788e+00
1.243661188528798e-04	1.201468e+01	5.015041e+00
1.251473688528798e-04	1.200776e+01	4.908457e+00
1.259286188528799e-04	1.200084e+01	4.802037e+00
1.267098688528799e-04	1.199394e+01	4.695780e+00
1.274911188528799e-04	1.198705e+01	4.589687e+00
1.282723688528799e-04	1.198017e+01	4.483757e+00
1.374520563528802e-04	1.190012e+01	3.251167e+00
1.374764704153802e-04	1.189991e+01	3.247918e+00
1.375252985403802e-04	1.189949e+01	3.241422e+00
1.375800341866351e-04	1.189902e+01	3.234139e+00
1.375881391722603e-04	1.189895e+01	3.233061e+00
1.376043491435108e-04	1.189881e+01	3.230905e+00
1.376367690860117e-04	1.189853e+01	3.226592e+00
1.376380354900156e-04	1.189852e+01	3.226424e+00
1.376395551748203e-04	1.189850e+01	3.226222e+00
1.376415814212267e-04	1.189848e+01	3.225952e+00
1.376456339140393e-04	1.189233e+01	3.225309e+00
1.376537388996645e-04	1.173715e+01	3.221763e+00
1.376572246737950e-04	1.112983e+01	3.211865e+00
1.376594772919976e-04	9.616578e+00	3.188092e+00
1.376609505892941e-04	7.367101e+00	3.152369e+00
1.376624801417363e-04	4.058318e+00	3.098183e+00
1.376632884083695e-04	2.409562e+00	3.069205e+00
1.376639178985695e-04	1.543821e+00	3.051573e+00
1.376646716749897e-04	9.664397e-01	3.036552e+00
1.376651413859165e-04	7.660158e-01	3.029457e+00
1.376656959669106e-04	6.275616e-01	3.022619e+00
1.376662945055063e-04	5.289124e-01	3.016233e+00
1.376673111264313e-04	4.241902e-01	3.006881e+00
1.376682590209838e-04	3.670802e-01	2.999451e+00
1.376695546165833e-04	3.301397e-01	2.991048e+00
1.376709756409339e-04	3.162199e-01	2.983582e+00
1.376726012152893e-04	3.138452e-01	2.976922e+00
1.376744073775857e-04	3.137134e-01	2.971663e+00
1.376775277838323e-04	3.135347e-01	2.967194e+00
1.376837685963255e-04	3.133200e-01	2.969033e+00
1.376933259349616e-04	3.131677e-01	2.987369e+00
1.377037914729035e-04	3.131403e-01	3.019761e+00
1.377174669804832e-04	3.131962e-01	3.068861e+00
1.377347857194677e-04	3.133004e-01	3.128363e+00
1.377510449152256e-04	3.133909e-01	3.174275e+00
1.377711841754677e-04	3.134753e-01	3.215051e+00
1.377896531009166e-04	3.135236e-01	3.238153e+00
1.378120732735834e-04	3.135526e-01	3.252280e+00
1.378336383981177e-04	3.135633e-01	3.258055e+00
1.378438398250646e-04	3.135630e-01	3.258917e+00
1.378518941557332e-04	3.135619e-01	3.259040e+00
