time	V(v_controle)	V(v_integrateur)
1.078831122862818e-02	2.848885e-01	2.096110e-01
1.078832456224432e-02	2.848885e-01	2.096238e-01
1.078834663640685e-02	2.848885e-01	2.096450e-01
1.078837745593368e-02	2.848885e-01	2.096746e-01
1.078840826750841e-02	2.848885e-01	2.097043e-01
1.078844204041450e-02	2.848885e-01	2.097367e-01
1.078848167081766e-02	2.848885e-01	2.097748e-01
1.078852697777775e-02	2.848885e-01	2.098184e-01
1.078860072351242e-02	2.848885e-01	2.098893e-01
1.078869942626434e-02	2.848885e-01	2.099842e-01
1.078881021451799e-02	2.848885e-01	2.100907e-01
1.078903179102528e-02	2.848885e-01	2.103038e-01
1.078931004676229e-02	2.848885e-01	2.105713e-01
1.078986655823632e-02	2.848885e-01	2.111064e-01
1.079044458587890e-02	2.848885e-01	2.116622e-01
1.079130952600067e-02	2.848885e-01	2.124939e-01
1.079230786367876e-02	2.848885e-01	2.134538e-01
1.079416460150263e-02	2.848885e-01	2.152391e-01
1.079709740648478e-02	2.848885e-01	2.180590e-01
1.080314631676046e-02	2.848885e-01	2.238752e-01
1.080352190228991e-02	2.848885e-01	2.242363e-01
1.080353388216547e-02	2.848885e-01	2.242478e-01
1.080355784191660e-02	2.848885e-01	2.242708e-01
1.080358120708060e-02	2.848885e-01	2.242933e-01
1.080360465299141e-02	2.848885e-01	2.243159e-01
1.080363495458494e-02	2.848885e-01	2.243450e-01
1.080367831246131e-02	2.848885e-01	2.243867e-01
1.080367966739495e-02	2.848885e-01	2.243880e-01
1.080368237726222e-02	2.848885e-01	2.243906e-01
1.080368305472904e-02	2.848885e-01	2.243912e-01
1.080368440966268e-02	2.848885e-01	2.243925e-01
1.080368711952995e-02	2.848885e-01	2.243951e-01
1.080369253926450e-02	2.848885e-01	2.244004e-01
1.080369638783394e-02	2.848885e-01	2.244041e-01
1.080369946082988e-02	2.848885e-01	2.244070e-01
1.080370164719359e-02	2.848885e-01	2.244091e-01
1.080370313817519e-02	2.848885e-01	2.244105e-01
1.080370447711910e-02	2.848885e-01	2.244118e-01
1.080370570005713e-02	2.848885e-01	2.244130e-01
1.080370636215193e-02	2.848885e-01	2.244136e-01
1.080370712068622e-02	2.848885e-01	2.244144e-01
1.080370773904418e-02	2.848885e-01	2.244150e-01
1.080370823155470e-02	2.848885e-01	2.244154e-01
1.080370881263695e-02	2.848885e-01	2.244160e-01
1.080370949193463e-02	2.848885e-01	2.244166e-01
1.080371046919130e-02	2.848885e-01	2.244176e-01
1.080371151267613e-02	2.848885e-01	2.244186e-01
1.080371284166935e-02	2.848885e-01	2.244199e-01
1.080371441499635e-02	2.848885e-01	2.244214e-01
1.080371619107208e-02	2.848885e-01	2.244231e-01
1.080371805688336e-02	2.848885e-01	2.244249e-01
1.080372178850592e-02	2.848885e-01	2.244285e-01
1.080372925175103e-02	2.848885e-01	2.244356e-01
1.080373878762630e-02	2.848885e-01	2.244448e-01
1.080375032969817e-02	2.848885e-01	2.244559e-01
1.080376442756572e-02	2.848885e-01	2.244695e-01
1.080378196017757e-02	2.848885e-01	2.244863e-01
1.080380036778060e-02	2.848885e-01	2.245040e-01
1.080381948296476e-02	2.848885e-01	2.245224e-01
